model,epoch,pB,loss,ID,MID,OOD,OOD7,OOD8
H+L,1,0.0,0.031066528538424072,1.0,0.8848,0.8032,,
H+L,2,0.0,0.0008880726720975646,1.0,0.8078,0.6116,,
H+L,3,0.0,0.00025379687172003647,1.0,0.854,0.759,,
H+L,4,0.0,0.00022530976514112828,1.0,0.84,0.5696,,
H+L,5,0.0,0.0007900451125929036,1.0,0.8092,0.748,,
H+L,6,0.0,1.8158319219053925e-5,1.0,0.907,0.717,,
H+L,7,0.0,5.11915860987302e-7,1.0,0.8892,0.7266,,
H+L,8,0.0,0.00015647614263877987,1.0,0.8162,0.7666,,
H+L,9,0.0,0.00016846892569948426,1.0,0.8994,0.6672,,
H+L,10,0.0,0.00016395704772000032,1.0,0.8146,0.7778,,
H+L,11,0.10307791485121556,1.0130095866240805e-6,1.0,0.851,0.7418,,
H+L,12,0.11223587092621162,1.8107417188053803e-7,1.0,0.8362,0.7558,,
H+L,13,0.12724836895290803,0.0009252180680389453,1.0,0.9444,0.722,,
H+L,14,0.14774575140626314,0.0001797409098583804,1.0,0.9366,0.7272,,
H+L,15,0.1732233047033631,6.673483333301078e-5,1.0,0.903,0.808,,
H+L,16,0.20305368692688172,0.0006437053941827998,1.0,0.8338,0.802,,
H+L,17,0.2365023750651133,1.1995142308762573e-6,1.0,0.836,0.811,,
H+L,18,0.2727457514062631,1.1424836459315248e-7,1.0,0.8688,0.8114,,
H+L,19,0.3108913837399423,2.1658781598744537e-8,1.0,0.8604,0.8142,,
H+L,20,0.35,2.3861904781515688e-8,1.0,0.8806,0.818,,
H+L,21,0.38910861626005777,0.000568758681644711,1.0,0.9124,0.8072,,
H+L,22,0.42725424859373684,1.0685283524716319e-5,1.0,0.8942,0.808,,
H+L,23,0.46349762493488667,3.557682420746945e-7,1.0,0.9048,0.8116,,
H+L,24,0.4969463130731182,1.0361037030045772e-7,1.0,0.9182,0.815,,
H+L,25,0.5267766952966368,3.9734773797752374e-8,1.0,0.8986,0.8122,,
H+L,26,0.5522542485937368,7.250700937096746e-8,1.0,0.8874,0.8062,,
H+L,27,0.5727516310470919,0.00010839728183035197,1.0,0.9294,0.7746,,
H+L,28,0.5877641290737884,0.00016767398018747832,1.0,0.9018,0.772,,
H+L,29,0.5969220851487844,8.851857572063066e-7,1.0,0.8858,0.797,,
H+L,30,0.6,4.094822816694435e-8,1.0,0.8854,0.797,,
