metric,HL,HH,Δ_HL_minus_HH
ID,1.0,1.0,0.0
MID,0.8854,0.8586,0.026799999999999935
OOD,0.797,0.7112,0.08579999999999999
loss,4.094822816694435e-8,1.8365578010107028e-7,-1.4270755193412593e-7
