model,epoch,pB,loss,ID,MID,OOD,OOD7,OOD8
H+H,1,0.0,0.025178584211055375,1.0,0.8032,0.747,,
H+H,2,0.0,0.0008981778463440077,1.0,0.7934,0.616,,
H+H,3,0.0,0.0006383536019269829,1.0,0.8518,0.6878,,
H+H,4,0.0,0.00035744145833731646,1.0,0.8066,0.753,,
H+H,5,0.0,0.0003382860450378217,1.0,0.8462,0.7622,,
H+H,6,0.0,0.0002758558338271582,1.0,0.8354,0.7468,,
H+H,7,0.0,8.846276588936504e-7,1.0,0.8276,0.7654,,
H+H,8,0.0,0.0005132686664133105,1.0,0.8834,0.7868,,
H+H,9,0.0,0.0005724962127372484,1.0,0.8158,0.565,,
H+H,10,0.0,0.00022479852019425658,1.0,0.9058,0.7604,,
H+H,11,0.10307791485121556,0.0001574088274728403,1.0,0.9028,0.7708,,
H+H,12,0.11223587092621162,1.988003926914858e-5,1.0,0.7658,0.7554,,
H+H,13,0.12724836895290803,9.655814189127344e-5,1.0,0.849,0.7512,,
H+H,14,0.14774575140626314,9.131600828979197e-5,1.0,0.868,0.7862,,
H+H,15,0.1732233047033631,2.7120752203748535e-7,1.0,0.8736,0.7816,,
H+H,16,0.20305368692688172,1.1469290014186836e-6,1.0,0.8758,0.775,,
H+H,17,0.2365023750651133,0.0004482864393880918,1.0,0.8558,0.725,,
H+H,18,0.2727457514062631,0.00018836726921078704,1.0,0.8868,0.7872,,
H+H,19,0.3108913837399423,1.9014802987146115e-7,1.0,0.8862,0.7852,,
H+H,20,0.35,0.0004926380214209045,1.0,0.8778,0.7798,,
H+H,21,0.38910861626005777,0.00016827454555718878,1.0,0.8348,0.6798,,
H+H,22,0.42725424859373684,3.760713105797835e-6,1.0,0.8316,0.7688,,
H+H,23,0.46349762493488667,1.2521446987455488e-7,1.0,0.8282,0.7632,,
H+H,24,0.4969463130731182,0.00015098568649340923,1.0,0.8396,0.5574,,
H+H,25,0.5267766952966368,9.686298791709887e-6,1.0,0.8546,0.7572,,
H+H,26,0.5522542485937368,6.091783015016188e-8,1.0,0.8556,0.7584,,
H+H,27,0.5727516310470919,3.31337679902762e-6,1.0,0.8426,0.6658,,
H+H,28,0.5877641290737884,1.789351717339785e-7,1.0,0.8656,0.6502,,
H+H,29,0.5969220851487844,0.00019524954139560384,1.0,0.8536,0.6914,,
H+H,30,0.6,1.8365578010107028e-7,1.0,0.8586,0.7112,,
