model,epoch,pB,loss,ID,MID,OOD,OOD7,OOD8
H+H,78,0.7155834601050037,0.060598553545231984,0.914,0.623,0.595,0.592,0.598
H+H,79,0.7370414605076991,0.06296404350749307,0.904,0.651,0.59,0.578,0.602
H+H,80,0.7581559480312315,0.06749581983542757,0.903,0.647,0.595,0.584,0.606
H+H,81,0.7788435934396372,0.06734688528454333,0.9,0.635,0.611,0.6,0.622
H+H,82,0.7990227520477754,0.06581734577937987,0.92,0.648,0.586,0.582,0.59
H+H,83,0.8186137859356004,0.05808852008610733,0.904,0.633,0.596,0.58,0.612
H+H,84,0.8375393782426488,0.06152445295107034,0.916,0.66,0.579,0.566,0.592
H+H,85,0.8557248383023655,0.05078490226306701,0.92,0.645,0.562,0.56,0.564
H+H,86,0.8730983964120413,0.04167374549288485,0.911,0.636,0.593,0.588,0.598
H+H,87,0.889591487075041,0.0610800020638098,0.911,0.65,0.6,0.596,0.604
H+H,88,0.905139019597494,0.05050348164508723,0.916,0.652,0.6,0.6,0.6
H+H,89,0.9196796349715262,0.041220728786187044,0.916,0.641,0.552,0.572,0.532
H+H,90,0.9331559480312315,0.06211966824326283,0.895,0.621,0.57,0.548,0.592
H+H,91,0.945514773925705,0.06979960766238036,0.911,0.662,0.59,0.58,0.6
H+H,92,0.9567073380153521,0.03692702265690774,0.909,0.657,0.585,0.586,0.584
H+H,93,0.9666894683631067,0.043961847150688564,0.906,0.639,0.612,0.596,0.628
H+H,94,0.9754217700608878,0.04657561473562151,0.91,0.65,0.584,0.566,0.602
H+H,95,0.9828697807033038,0.04219899484054479,0.905,0.647,0.583,0.58,0.586
H+H,96,0.9890041063950208,0.041999448152308265,0.905,0.643,0.564,0.552,0.576
H+H,97,0.993800537755041,0.03408491054159925,0.91,0.655,0.591,0.558,0.624
H+H,98,0.9972401454600672,0.044763488598852055,0.918,0.658,0.579,0.568,0.59
H+H,99,0.999309354949895,0.0451198990344357,0.908,0.641,0.587,0.566,0.608
H+H,100,1.0,0.040605767602266654,0.912,0.66,0.587,0.596,0.578
