model,epoch,pB,loss,ID,MID,OOD,OOD7,OOD8
H+L,62,0.39486098040250595,0.16153742495314602,0.963,0.77,0.684,0.682,0.686
H+L,63,0.41040851292495895,0.11741293658803709,0.968,0.77,0.693,0.702,0.684
H+L,64,0.4269016035879586,0.12642601843870319,0.958,0.763,0.704,0.706,0.702
H+L,65,0.44427516169763437,0.10621783633351979,0.963,0.762,0.688,0.696,0.68
H+L,66,0.4624606217573512,0.10663670598734654,0.961,0.77,0.698,0.714,0.682
H+L,67,0.48138621406439963,0.10670755097968303,0.967,0.788,0.709,0.716,0.702
H+L,68,0.5009772479522245,0.10798301309066159,0.962,0.767,0.694,0.7,0.688
H+L,69,0.5211564065603627,0.10047660309819693,0.971,0.783,0.706,0.72,0.692
H+L,70,0.5418440519687684,0.11824778318419174,0.966,0.787,0.699,0.7,0.698
H+L,71,0.5629585394923007,0.13013835665707274,0.968,0.781,0.692,0.698,0.686
H+L,72,0.5844165398949963,0.09907705021468284,0.965,0.775,0.698,0.708,0.688
H+L,73,0.6061333682524934,0.09234220260866892,0.968,0.777,0.702,0.726,0.678
H+L,74,0.6280233181647403,0.09362293056897017,0.974,0.755,0.712,0.728,0.696
H+L,75,0.6499999999999999,0.09894415715781839,0.966,0.766,0.68,0.68,0.68
H+L,76,0.6719766818352597,0.09694014098587672,0.966,0.774,0.705,0.702,0.708
H+L,77,0.6938666317475064,0.09536988837179161,0.97,0.763,0.689,0.7,0.678
H+L,78,0.7155834601050037,0.09243701807154608,0.968,0.766,0.678,0.698,0.658
H+L,79,0.7370414605076991,0.0843153147027223,0.964,0.772,0.688,0.708,0.668
H+L,80,0.7581559480312315,0.08708000230996156,0.97,0.776,0.703,0.704,0.702
H+L,81,0.7788435934396372,0.08601139243864703,0.964,0.777,0.694,0.71,0.678
H+L,82,0.7990227520477754,0.09179678547367334,0.977,0.773,0.713,0.728,0.698
H+L,83,0.8186137859356004,0.08786684436631573,0.971,0.784,0.692,0.696,0.688
H+L,84,0.8375393782426488,0.08495474637549252,0.972,0.778,0.693,0.698,0.688
H+L,85,0.8557248383023655,0.12178644771922947,0.957,0.769,0.71,0.724,0.696
H+L,86,0.8730983964120413,0.08983367392916328,0.977,0.78,0.699,0.708,0.69
H+L,87,0.889591487075041,0.07227623918791992,0.98,0.797,0.707,0.714,0.7
H+L,88,0.905139019597494,0.07820161615598276,0.973,0.786,0.705,0.706,0.704
H+L,89,0.9196796349715262,0.08214034560926112,0.978,0.773,0.701,0.708,0.694
H+L,90,0.9331559480312315,0.07105938106899701,0.973,0.787,0.705,0.73,0.68
H+L,91,0.945514773925705,0.08782645603341867,0.972,0.793,0.724,0.734,0.714
H+L,92,0.9567073380153521,0.07152611588283508,0.965,0.794,0.698,0.718,0.678
H+L,93,0.9666894683631067,0.07355768963744577,0.971,0.771,0.692,0.7,0.684
H+L,94,0.9754217700608878,0.0806301225788559,0.967,0.778,0.709,0.73,0.688
H+L,95,0.9828697807033038,0.06858209917559852,0.977,0.774,0.7,0.7,0.7
H+L,96,0.9890041063950208,0.06888777261284258,0.966,0.754,0.705,0.716,0.694
H+L,97,0.993800537755041,0.0667089629506278,0.973,0.787,0.707,0.7,0.714
H+L,98,0.9972401454600672,0.06469770124937985,0.968,0.756,0.695,0.688,0.702
H+L,99,0.999309354949895,0.08644340665451265,0.967,0.778,0.702,0.71,0.694
H+L,100,1.0,0.05999790815203577,0.965,0.783,0.704,0.712,0.696
