epoch,pB_mean,loss_mean,loss_std,ID_mean,ID_std,MID_mean,MID_std,OOD_mean,OOD_std,Overall_mean,Overall_std,OOD7_mean,OOD7_std,OOD8_mean,OOD8_std
1,0.0,0.6878875,0.014326631,0.53933334,0.005033249,0.582,0.043577492,0.5706666,0.021385351,0.56399995,0.022482095,0.56,0.018330282,0.58133334,0.030550508
2,0.0,0.6379449,0.01856875,0.5913333,0.022479605,0.63766664,0.017616263,0.618,0.026907241,0.6156667,0.020792607,0.59866667,0.0061100875,0.63733333,0.051432785
3,0.0,0.6071835,0.016328383,0.616,0.008717788,0.66466665,0.008386526,0.64533335,0.0023094057,0.642,0.0048419526,0.61733335,0.012220226,0.67333335,0.009237623
4,0.0,0.5721548,0.025123721,0.602,0.0059999824,0.65566665,0.007767444,0.6306667,0.011015156,0.6294444,0.006850229,0.6053334,0.016653327,0.65599996,0.038574614
5,0.0,0.54414374,0.02555657,0.6386667,0.0122202,0.66899997,0.008543984,0.6446667,0.004618777,0.65077776,0.0065855905,0.6213333,0.024440395,0.668,0.016000003
6,0.36684406,0.5199166,0.02098176,0.6206667,0.0030550698,0.6693333,0.0058594574,0.6386666,0.014189197,0.64288884,0.0024570515,0.61333334,0.018903267,0.66400003,0.02227107
7,0.54184407,0.5073646,0.022974683,0.6346667,0.038017526,0.66366667,0.009018502,0.6346667,0.008082918,0.6443333,0.016825918,0.6346667,0.010066435,0.6346667,0.026025651
8,0.758156,0.49022368,0.02377693,0.64533335,0.033842795,0.66566664,0.011015137,0.65533334,0.006110113,0.65544444,0.012024658,0.6386667,0.023094023,0.672,0.016000003
9,0.93315595,0.47624102,0.021342963,0.64133334,0.020033317,0.66899997,0.006245008,0.6493333,0.0075718695,0.65322226,0.007500611,0.644,0.020784618,0.65466666,0.016653338
10,1.0,0.4586341,0.017452592,0.66333336,0.009451633,0.656,0.009848855,0.62733334,0.02548202,0.6488889,0.00834221,0.62266666,0.022744976,0.63199997,0.03999999
