Model,Kind,Epoch,pB,ID,MID,OOD,OOD7,OOD8
H+L,Last,50,1.0,0.96,0.77,0.693,0.696,0.69
H+H,Last,50,1.0,0.923,0.68,0.628,0.638,0.618
H+L,PeakOOD,36,0.5844165398949963,0.94,0.751,0.714,,
H+H,PeakOOD,19,0.0,0.915,0.679,0.668,,
